x,y,filename
128,-188,output_0.wav
-147,-33,output_1.wav
103,65,output_2.wav
36,-154,output_3.wav
192,22,output_4.wav
-63,-88,output_5.wav
41,137,output_6.wav
-13,-80,output_7.wav
-58,-199,output_8.wav
186,-92,output_9.wav
-63,181,output_10.wav
-99,-18,output_11.wav
102,59,output_12.wav
108,197,output_13.wav
71,111,output_14.wav
-113,10,output_15.wav
22,-139,output_16.wav
38,-185,output_17.wav
-44,25,output_18.wav
-90,16,output_19.wav
152,-154,output_20.wav
116,117,output_21.wav
96,154,output_22.wav
-102,15,output_23.wav
-20,-72,output_24.wav
-176,71,output_25.wav
17,45,output_26.wav
-183,2,output_27.wav
173,-65,output_28.wav
-99,-156,output_29.wav
114,177,output_30.wav
-23,151,output_31.wav
164,64,output_32.wav
-107,-73,output_33.wav
169,103,output_34.wav
-163,-46,output_35.wav
23,67,output_36.wav
148,-133,output_37.wav
-73,131,output_38.wav
-7,176,output_39.wav
-70,-171,output_40.wav
18,138,output_41.wav
50,143,output_42.wav
-150,157,output_43.wav
83,125,output_44.wav
94,11,output_45.wav
139,181,output_46.wav
122,-21,output_47.wav
-92,-57,output_48.wav
-5,100,output_49.wav
-104,84,output_50.wav
160,-83,output_51.wav
76,-171,output_52.wav
33,64,output_53.wav
102,-186,output_54.wav
-180,45,output_55.wav
85,-26,output_56.wav
162,-131,output_57.wav
-91,101,output_58.wav
114,16,output_59.wav
-83,-123,output_60.wav
189,70,output_61.wav
-146,-84,output_62.wav
-196,106,output_63.wav
-26,41,output_64.wav
-174,54,output_65.wav
-197,89,output_66.wav
-28,98,output_67.wav
-99,23,output_68.wav
-178,43,output_69.wav
145,-54,output_70.wav
-43,55,output_71.wav
-87,-15,output_72.wav
-195,57,output_73.wav
-91,31,output_74.wav
-107,-135,output_75.wav
-28,-9,output_76.wav
-151,-9,output_77.wav
-91,183,output_78.wav
94,-186,output_79.wav
9,106,output_80.wav
77,-101,output_81.wav
-6,-186,output_82.wav
-188,-93,output_83.wav
128,-148,output_84.wav
-100,161,output_85.wav
32,-200,output_86.wav
161,139,output_87.wav
52,51,output_88.wav
8,-112,output_89.wav
193,68,output_90.wav
140,-45,output_91.wav
100,-42,output_92.wav
-186,-116,output_93.wav
19,-171,output_94.wav
-163,90,output_95.wav
-5,-46,output_96.wav
117,-50,output_97.wav
36,119,output_98.wav
-151,82,output_99.wav
-59,161,output_100.wav
76,-25,output_101.wav
-46,130,output_102.wav
99,-79,output_103.wav
0,-166,output_104.wav
-130,188,output_105.wav
-15,137,output_106.wav
190,192,output_107.wav
-47,-116,output_108.wav
-170,-95,output_109.wav
-121,5,output_110.wav
-23,58,output_111.wav
